Ob,Project,Algorithm,Cost Error
1,1,SLM,1244
2,2,SLM,21
3,3,SLM,82
4,4,SLM,2221
5,5,SLM,905
6,6,SLM,839
7,1,COCOMO-A,281
8,2,COCOMO-A,129
9,3,COCOMO-A,396
10,4,COCOMO-A,1306
11,5,COCOMO-A,336
12,6,COCOMO-A,910
13,1,COCOMO-R,220
14,2,COCOMO-R,84
15,3,COCOMO-R,458
16,4,COCOMO-R,543
17,5,COCOMO-R,300
18,6,COCOMO-R,794
19,1,COCOMO-C,225
20,2,COCOMO-C,83
21,3,COCOMO-C,425
22,4,COCOMO-C,552
23,5,COCOMO-C,291
24,6,COCOMO-C,826
25,1,FUNCTION POINTS,19
26,2,FUNCTION POINTS,11
27,3,FUNCTION POINTS,-34
28,4,FUNCTION POINTS,121
29,5,FUNCTION POINTS,15
30,6,FUNCTION POINTS,103
31,1,ESTIMALS,-20
32,2,ESTIMALS,35
33,3,ESTIMALS,-53
34,4,ESTIMALS,170
35,5,ESTIMALS,104
36,6,ESTIMALS,199
37,1,SLM,1244
38,2,SLM,21
39,3,SLM,82
40,4,SLM,2221
41,5,SLM,905
42,6,SLM,839
43,1,COCOMO-A,281
44,2,COCOMO-A,129
45,3,COCOMO-A,396
46,4,COCOMO-A,1306
47,5,COCOMO-A,336
48,6,COCOMO-A,910
49,1,COCOMO-R,220
50,2,COCOMO-R,84
51,3,COCOMO-R,458
52,4,COCOMO-R,543
53,5,COCOMO-R,300
54,6,COCOMO-R,794
55,1,COCOMO-C,225
56,2,COCOMO-C,83
57,3,COCOMO-C,425
58,4,COCOMO-C,552
59,5,COCOMO-C,291
60,6,COCOMO-C,826
61,1,FUNCTION POINTS,19
62,2,FUNCTION POINTS,11
63,3,FUNCTION POINTS,-34
64,4,FUNCTION POINTS,121
65,5,FUNCTION POINTS,15
66,6,FUNCTION POINTS,103
67,1,ESTIMALS,-20
68,2,ESTIMALS,35
69,3,ESTIMALS,-53
70,4,ESTIMALS,170
71,5,ESTIMALS,104
72,6,ESTIMALS,199
73,1,SLM,1244
74,2,SLM,21
75,3,SLM,82
76,4,SLM,2221
77,5,SLM,905
78,6,SLM,839
79,1,COCOMO-A,281
80,2,COCOMO-A,129
81,3,COCOMO-A,396
82,4,COCOMO-A,1306
83,5,COCOMO-A,336
84,6,COCOMO-A,910
85,1,COCOMO-R,220
86,2,COCOMO-R,84
87,3,COCOMO-R,458
88,4,COCOMO-R,543
89,5,COCOMO-R,300
90,6,COCOMO-R,794
91,1,COCOMO-C,225
92,2,COCOMO-C,83
93,3,COCOMO-C,425
94,4,COCOMO-C,552
95,5,COCOMO-C,291
96,6,COCOMO-C,826
97,1,FUNCTION POINTS,19
98,2,FUNCTION POINTS,11
99,3,FUNCTION POINTS,-34
100,4,FUNCTION POINTS,121
101,5,FUNCTION POINTS,15
102,6,FUNCTION POINTS,103
103,1,ESTIMALS,-20
104,2,ESTIMALS,35
105,3,ESTIMALS,-53
106,4,ESTIMALS,170
107,5,ESTIMALS,104
108,6,ESTIMALS,199
109,1,SLM,1244
110,2,SLM,21
111,3,SLM,82
112,4,SLM,2221
113,5,SLM,905
114,6,SLM,839
115,1,COCOMO-A,281
116,2,COCOMO-A,129
117,3,COCOMO-A,396
118,4,COCOMO-A,1306
119,5,COCOMO-A,336
120,6,COCOMO-A,910
121,1,COCOMO-R,220
122,2,COCOMO-R,84
123,3,COCOMO-R,458
124,4,COCOMO-R,543
125,5,COCOMO-R,300
126,6,COCOMO-R,794
127,1,COCOMO-C,225
128,2,COCOMO-C,83
129,3,COCOMO-C,425
130,4,COCOMO-C,552
131,5,COCOMO-C,291
132,6,COCOMO-C,826
133,1,FUNCTION POINTS,19
134,2,FUNCTION POINTS,11
135,3,FUNCTION POINTS,-34
136,4,FUNCTION POINTS,121
137,5,FUNCTION POINTS,15
138,6,FUNCTION POINTS,103
139,1,ESTIMALS,-20
140,2,ESTIMALS,35
141,3,ESTIMALS,-53
142,4,ESTIMALS,170
143,5,ESTIMALS,104
144,6,ESTIMALS,199
145,1,SLM,1244
146,2,SLM,21
147,3,SLM,82
148,4,SLM,2221
149,5,SLM,905
150,6,SLM,839
151,1,COCOMO-A,281
152,2,COCOMO-A,129
153,3,COCOMO-A,396
154,4,COCOMO-A,1306
155,5,COCOMO-A,336
156,6,COCOMO-A,910
157,1,COCOMO-R,220
158,2,COCOMO-R,84
159,3,COCOMO-R,458
160,4,COCOMO-R,543
161,5,COCOMO-R,300
162,6,COCOMO-R,794
163,1,COCOMO-C,225
164,2,COCOMO-C,83
165,3,COCOMO-C,425
166,4,COCOMO-C,552
167,5,COCOMO-C,291
168,6,COCOMO-C,826
169,1,FUNCTION POINTS,19
170,2,FUNCTION POINTS,11
171,3,FUNCTION POINTS,-34
172,4,FUNCTION POINTS,121
173,5,FUNCTION POINTS,15
174,6,FUNCTION POINTS,103
175,1,ESTIMALS,-20
176,2,ESTIMALS,35
177,3,ESTIMALS,-53
178,4,ESTIMALS,170
179,5,ESTIMALS,104
