Ob,Copper Content,Temperature,Warping
1,40,50,17
2,40,50,20
3,60,50,16
4,60,50,21
5,80,50,24
6,80,50,22
7,100,50,28
8,100,50,27
9,40,75,12
10,40,75,9
11,60,75,18
12,60,75,13
13,80,75,17
14,80,75,12
15,100,75,27
16,100,75,31
17,40,100,16
18,40,100,12
19,60,100,18
20,60,100,21
21,80,100,25
22,80,100,23
23,100,100,30
24,100,100,23
25,40,125,21
26,40,125,17
27,60,125,23
28,60,125,21
29,80,125,23
30,80,125,22
31,100,125,29
32,100,125,31
33,40,50,17
34,40,50,20
35,60,50,16
36,60,50,21
37,80,50,24
38,80,50,22
39,100,50,28
40,100,50,27
41,40,75,12
42,40,75,9
43,60,75,18
44,60,75,13
45,80,75,17
46,80,75,12
47,100,75,27
48,100,75,31
49,40,100,16
50,40,100,12
51,60,100,18
52,60,100,21
53,80,100,25
54,80,100,23
55,100,100,30
56,100,100,23
57,40,125,21
58,40,125,17
59,60,125,23
60,60,125,21
61,80,125,23
62,80,125,22
63,100,125,29
64,100,125,31
65,40,50,17
66,40,50,20
67,60,50,16
68,60,50,21
69,80,50,24
70,80,50,22
71,100,50,28
72,100,50,27
73,40,75,12
74,40,75,9
75,60,75,18
76,60,75,13
77,80,75,17
78,80,75,12
79,100,75,27
80,100,75,31
81,40,100,16
82,40,100,12
83,60,100,18
84,60,100,21
85,80,100,25
86,80,100,23
87,100,100,30
88,100,100,23
89,40,125,21
90,40,125,17
91,60,125,23
92,60,125,21
93,80,125,23
94,80,125,22
95,100,125,29
96,100,125,31
97,40,50,17
98,40,50,20
99,60,50,16
100,60,50,21
101,80,50,24
102,80,50,22
103,100,50,28
104,100,50,27
105,40,75,12
106,40,75,9
107,60,75,18
108,60,75,13
109,80,75,17
110,80,75,12
111,100,75,27
112,100,75,31
113,40,100,16
114,40,100,12
115,60,100,18
116,60,100,21
117,80,100,25
118,80,100,23
119,100,100,30
120,100,100,23
121,40,125,21
122,40,125,17
123,60,125,23
124,60,125,21
125,80,125,23
126,80,125,22
127,100,125,29
128,100,125,31
